"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","€1,950 monthly, 2 bedrooms https://t.co/e9DhEC1dYr",FALSE,0,NA,2019-10-06 03:03:21,FALSE,NA,"1180679911591297025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"2","€2,500 monthly, 3 bedrooms https://t.co/3JBmlyb4Sz",FALSE,0,NA,2019-10-04 05:24:50,FALSE,NA,"1179990741038313472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"3","€912 monthly, 1 bedroom  Grosvenor Place, Rathmines, Dublin 6 https://t.co/vV3c78GhIH #rental #feedly",FALSE,0,NA,2019-10-03 18:31:46,FALSE,NA,"1179826390012698624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"4","€1,760 monthly, 2 bedrooms 48 Abbeyfield, Milltown, Dublin 6 https://t.co/GSS37EOESD #rental #feedly",FALSE,0,NA,2019-10-01 19:49:34,FALSE,NA,"1179121193317732354",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"5","€1,895 monthly, 2 bedrooms  2 Lower Dodder Road, Terenure, Dublin 6 https://t.co/drGqzHZzWs #rental #feedly",FALSE,0,NA,2019-10-01 19:49:03,FALSE,NA,"1179121064959516673",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"6","€1,895 monthly, 2 bedrooms 2 Lower Dodder Road, Terenure, Dublin 6 https://t.co/drGqzHZzWs #rental #feedly",FALSE,0,NA,2019-10-01 19:39:15,FALSE,NA,"1179118596691255296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"7","€1,980 monthly, 2 bedrooms https://t.co/C3ie8plmDS",FALSE,0,NA,2019-09-29 02:45:54,FALSE,NA,"1178138806748360704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"8","€955 monthly, Studio  Richmond Hill, Rathmines, Dublin 6 https://t.co/0BjPDAaBjk #rental #feedly",FALSE,0,NA,2019-09-26 19:48:06,FALSE,NA,"1177308887600566272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"9","€1,900 monthly, 2 bedrooms  Bushy Pk, Terenure, Dublin 6 https://t.co/k6JkgPOrvG #rental #feedly",FALSE,0,NA,2019-09-25 11:44:07,FALSE,NA,"1176824699558477829",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"10","<U+FFFC>€1,508 monthly, 2 bedrooms https://t.co/awe4MDx1fO",FALSE,0,NA,2019-09-24 22:09:57,FALSE,NA,"1176619806637875200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"11","<U+FFFC>€864 monthly, Studio https://t.co/gYaOGnzlNz",FALSE,0,NA,2019-09-24 21:48:59,FALSE,NA,"1176614533907058694",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"12","€750 monthly, Studio https://t.co/MRT45Rtq3a",FALSE,0,NA,2019-09-23 01:14:43,FALSE,NA,"1175941529631956995",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"13","€1,600 monthly, 2 bedrooms https://t.co/ny6dmn1MmJ",FALSE,0,NA,2019-09-23 01:12:09,FALSE,NA,"1175940882941513728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"14","€2,500 monthly, 3 bedrooms https://t.co/ZryQRfbcfS",FALSE,0,NA,2019-09-23 00:56:21,FALSE,NA,"1175936906892382208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"15","€1,800 monthly, 2 bedrooms https://t.co/BALLlIzxPS",FALSE,0,NA,2019-09-23 00:55:39,FALSE,NA,"1175936734267400197",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"16","€950 monthly, Studio https://t.co/UlwO8alsz1",FALSE,0,NA,2019-09-23 00:54:48,FALSE,NA,"1175936518457896960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"17","€1,950 monthly, 2 bedrooms https://t.co/MbZto42LkX",FALSE,0,NA,2019-09-23 00:54:02,FALSE,NA,"1175936323603062784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"18","€2,550 monthly, 3 bedrooms https://t.co/mNHzGWcR7j",FALSE,0,NA,2019-09-22 21:37:15,FALSE,NA,"1175886802395308035",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"19","€1,760 monthly, 2 bedrooms https://t.co/2VO9pyjBjL",FALSE,0,NA,2019-09-20 04:00:13,FALSE,NA,"1174896018195804160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"20","€997 monthly, Studio https://t.co/PbpDCLMtDq",FALSE,0,NA,2019-09-20 03:59:52,FALSE,NA,"1174895927112257541",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"21","€600 monthly, Studio https://t.co/2GSZVexKTw",FALSE,0,NA,2019-09-20 03:59:26,FALSE,NA,"1174895819696173056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"22","€2,730 monthly, 3 bedrooms https://t.co/2iZoxv1Yeg",FALSE,0,NA,2019-09-20 03:58:43,FALSE,NA,"1174895638657429507",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"23","€936 monthly, 1 bedroom https://t.co/whct6ntrOz",FALSE,0,NA,2019-09-20 03:58:11,FALSE,NA,"1174895504234123265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
"24","€800 monthly, Studio https://t.co/5JB8Gcge7p",FALSE,0,NA,2019-09-20 03:57:15,FALSE,NA,"1174895270020075520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dublinhebrew",0,FALSE,FALSE,NA,NA
