"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","This stunning 4 bed home just outside Dunmore East in Co Waterford was recently added to the market by REA O'Shea O… https://t.co/lLrzdJCYbR",FALSE,0,NA,2019-10-07 13:56:50,TRUE,NA,"1181206752647364610",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",0,FALSE,FALSE,NA,NA
"2","The final release of 3 bed houses are now available at Ballycullen Green in Dublin 24. For sale via @dng_ie, the pr… https://t.co/GzeqWiu68Y",FALSE,1,NA,2019-10-04 15:08:13,TRUE,NA,"1180137554315755521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",1,FALSE,FALSE,NA,NA
"3","Today's #TransformationTuesday home is this 3 bed terraced house in Stoneybatter, Dublin 7. A Victorian period resi… https://t.co/QF0LeG0TTR",FALSE,0,NA,2019-10-01 15:18:32,TRUE,NA,"1179052988553404417",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",0,FALSE,FALSE,NA,NA
"4","Congrats to Glaslough in Co Monaghan on being named Ireland's Tidiest Town earlier today. You could be living there… https://t.co/hYF0VIY2xb",FALSE,0,NA,2019-09-30 15:09:08,TRUE,NA,"1178688233212907520",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",0,FALSE,FALSE,NA,NA
"5","Property price inflation looks set to flatline by the end of the year, according to the latest… https://t.co/TBZbYEgewj",FALSE,17,NA,2019-09-30 07:45:14,TRUE,NA,"1178576524225765377",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",6,FALSE,FALSE,NA,NA
"6","One of the finest examples of quality Neo Georgian Architecture around, The Beckett in Two Mile Borris in Co Tipper… https://t.co/FF9C9YAAu9",FALSE,0,NA,2019-09-27 08:04:23,TRUE,NA,"1177494180043509769",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",0,FALSE,FALSE,NA,NA
"7","Homes don't come much more impressive than the stunning Moy Ire in Sutton, Dublin 13 - a beach front property with… https://t.co/QDM5ZZY5FG",FALSE,1,NA,2019-09-26 11:14:52,TRUE,NA,"1177179728140230657",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",0,FALSE,FALSE,NA,NA
"8","Recently added to the market is this 4 bed terraced house in East Wall, Dublin 3, which is open for viewing this Sa… https://t.co/7FPkFlWcok",FALSE,1,NA,2019-09-25 08:19:56,TRUE,NA,"1176773314569789440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",1,FALSE,FALSE,NA,NA
"9","This 4 bed home in Celbridge, Co Kildare has recently come to the market via @CoonanProperty. Check it out now on… https://t.co/zWJXlIfez4",FALSE,1,NA,2019-09-23 14:58:26,TRUE,NA,"1176148823879704576",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",0,FALSE,FALSE,NA,NA
"10","The new 4 bed semi-detached show house at Green Lane Manor in Rathcoole, Co Dublin opens this weekend via selling a… https://t.co/Yz6qs0ik7B",FALSE,0,NA,2019-09-19 17:57:44,TRUE,NA,"1174744395918315522",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MyHomeProperty",0,FALSE,FALSE,NA,NA
