"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Ireland ‘paying a price’ in bid to tackle housing crisis https://t.co/MR1unnao5V https://t.co/3cfgdhW0Fv",FALSE,0,NA,2019-09-30 14:42:13,FALSE,NA,"1178681459760078848",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","irishexaminer",0,FALSE,FALSE,NA,NA
"2","RT @labour: 3,848 children are now homeless in Ireland. This is truly a heart-breaking and unacceptable situation.

Our Housing spokesperso…",FALSE,0,NA,2019-09-30 14:41:55,FALSE,NA,"1178681383490850816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","declancabra",5,TRUE,FALSE,NA,NA
"3","'They are building to suit the short term': Ireland 'paying a price' in Government bid to tackle housing crisis

https://t.co/cFAbOV2ReL",FALSE,0,NA,2019-09-30 14:34:48,FALSE,NA,"1178679594884505606",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IrishMirror",0,FALSE,FALSE,NA,NA
"4","RT @labour: 3,848 children are now homeless in Ireland. This is truly a heart-breaking and unacceptable situation.

Our Housing spokesperso…",FALSE,0,NA,2019-09-30 14:33:33,FALSE,NA,"1178679277375635457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jimmy_J_Hickey",5,TRUE,FALSE,NA,NA
"5","RT @CEYHomelessness: There were 910 young people (18-24) who were living in emergency accommodation in August. The numbers of young people…",FALSE,0,NA,2019-09-30 14:29:41,FALSE,NA,"1178678304544567297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Keegan1Andrew",7,TRUE,FALSE,NA,NA
"6","RT @ICHHDUBLIN: Since @MurphyEoghan took office as Minister for Housing there has been an increase of 33% in the number of children homeles…",FALSE,0,NA,2019-09-30 14:28:35,FALSE,NA,"1178678029104627712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dvcronin",11,TRUE,FALSE,NA,NA
"7","RT @otuathail: “The number of people in emergency accommodation increased for a second month in a row in August and again the rise was driv…",FALSE,0,NA,2019-09-30 14:20:29,FALSE,NA,"1178675989137838081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrVBMK",7,TRUE,FALSE,NA,NA
"8","RT @CEYHomelessness: There has been a 36% increase in the number of young people experiencing homelessness in Ireland since Rebuilding Irel…",FALSE,0,NA,2019-09-30 14:19:52,FALSE,NA,"1178675835496226816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lissathewriter",7,TRUE,FALSE,NA,NA
"9","RT @rtenews: Rise in children and families in emergency accommodation | https://t.co/gSaw9KQVRa https://t.co/Vm5s0UBEDS",FALSE,0,NA,2019-09-30 14:10:17,FALSE,NA,"1178673425067454470",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a_donna",3,TRUE,FALSE,NA,NA
"10","RT @rtenews: Rise in children and families in emergency accommodation | https://t.co/gSaw9KQVRa https://t.co/Vm5s0UBEDS",FALSE,0,NA,2019-09-30 14:08:42,FALSE,NA,"1178673023047602176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Moules_11",3,TRUE,FALSE,NA,NA
